Title,Director,Cast,Year,Genre,combo
akarshan,Tanvir Ahmed,khan akbar walia karnad sonu girish,1988,romance,khan akbar walia karnad sonu girish romance
akhri muqabla,Sudesh C. Issar,shashi kapoor rajan sippy suresh oberoi,1988,action,shashi kapoor rajan sippy suresh oberoi action
andha yudh,Dayal Nihalani,joshi patekar babbar divya nana rana pallavi hattangadi raj rohini,1988,drama thriller,joshi patekar babbar divya nana rana pallavi hattangadi raj rohini drama thriller
anjaam khuda jaane,Unknown,danny khan imtiaz grover denzongpa gulshan,1988,unknown,danny khan imtiaz grover denzongpa gulshan unknown
aurat teri yehi kahani,Mohanjee Prasad,kiran babbar meenakshi aruna irani raj seshadri,1988,unknown,kiran babbar meenakshi aruna irani raj seshadri unknown
bandhar bahon kaa,Unknown,raj kiran,1988,unknown,raj kiran unknown
be lagaam,Naval Kishore,rakesh jayshree biswajeet roshan t,1988,unknown,rakesh jayshree biswajeet roshan t unknown
bedroom story,Unknown,jayshree t,1988,unknown,jayshree t unknown
bees saal baad,Rajkumar Kohli,chakraborty sheshadri meenakshi dimple kapadia mithun,1988,horror action,chakraborty sheshadri meenakshi dimple kapadia mithun horror action
bhatakti jawani,Inderjit Doshi,lalita pawar mukri,1988,unknown,lalita pawar mukri unknown
bhayaanak mahal,Baby,jaya rekha antony ravi babu,1988,horror,jaya rekha antony ravi babu horror
bhed bhav,Navin Kumar,pradeep kumar,1988,unknown,pradeep kumar unknown
biwi ho to aisi,JK Bihari,khan kader rekha shaikh bindu salman farooq,1988,unknown,khan kader rekha shaikh bindu salman farooq unknown
charnon ki saugandh,K. Bapaiah,prem chakraborty amrita chopra asrani singh mithun,1988,family action drama,prem chakraborty amrita chopra asrani singh mithun family action drama
chintamani surdas,Ram Pahwa,pandey rakesh,1988,unknown,pandey rakesh unknown
commando,B. Subhash,chakraborty mandakini hemant birje mithun,1988,romance action drama,chakraborty mandakini hemant birje mithun romance action drama
daisy,Pratap Pothan,laxmi harish sonia,1988,unknown,laxmi harish sonia unknown
dariya dil,K. Ravishankar,roshni kimi govinda katkar,1988,family drama,roshni kimi govinda katkar family drama
dayavan,Feroz Khan,vinod khan amala khanna feroz,1988,crime family action romance drama,vinod khan amala khanna feroz crime family action romance drama
dharam shatru,Harmesh Malhotra,shatrughan sinha reena roy nirupa,1988,unknown,shatrughan sinha reena roy nirupa unknown
dharamyudh,Sudarshan Nag,shatrughan sinha dutt sunil kimi katkar,1988,unknown,shatrughan sinha dutt sunil kimi katkar unknown
do waqt ki roti,Satpal,khan kumar reena feroz sanjeev roy,1988,action,khan kumar reena feroz sanjeev roy action
ek aadmi,Khwaja Ahmad Abbas,tun shabana parikshat azmi sahni,1988,unknown,tun shabana parikshat azmi sahni unknown
ek hi maqsad,Pravin Bhatt,kiran puri divya rana raj om,1988,action drama thriller,kiran puri divya rana raj om action drama thriller
ek naya rishta,Vinod Pande,khan kiran rekha mazhar raj,1988,family,khan kiran rekha mazhar raj family
faisla,S. Ramanathan,vinod khanna bindu banu saira,1988,unknown,vinod khanna bindu banu saira unknown
falak,Shashilal K. Nair,shroff jackie kapur gulzar shekhar rakhee,1988,family crime action drama,shroff jackie kapur gulzar shekhar rakhee family crime action drama
