Title,Director,Cast,Year,Genre
ra navghan a.k.a. raj bhakti a.k.a. vir pasali,Nagendra Majumdar,vakil jilloobai zubeida madanrai elizer,1925,historical
raja yogi a.k.a. the prince ascetic,Manilal Joshi,charlie noor yakbal raja moti miss jamuna mohammed sandow,1925,historical
rambha of rajnagar a.k.a. amdawad ni sethani,Homi Master,charlie noor yakbal mohammed zubeida miss khalil,1925,social
rana hamir a.k.a. samrat hamir,Baburao Painter,kamladevi yadav pawar ansuyabai sushiladevi shantaram v balasaheb zunzharrao,1925,historical
rana pratap,Bhagwati Mishra,unknown,1925,historical
syamantaka mani a.k.a. krishna under charge of theft,Dadasaheb Phalke,bhaurao krishna datar chauhan,1925,mythology
sansar chakra a.k.a. pehla pyar,Unknown,sharifa surajram patience dadibhai cooper sarkari,1925,social
sant janabai,G.V. Sane,vasant bhaurao shinde datar madhav khaire,1925,devotional
sati laxmi a.k.a. pious laxmi,Jyotish Bannerjee,chakraborty manorama shishubala paul bhattacharya patience cooper kunjalal kartik shashimukhi dey manmotha dhiraj,1925,devotional
sati sreemantini,Unknown,unknown,1925,mythology
sati tara a.k.a. war between vali and sugriva a.k.a. vali sugriva yudh,Shinde,bhaurao tatyaba datar chauhan shelar krishna,1925,mythology
